image,transcription,transliteration,length
img_00000.png,ꦧꦕꦢꦗ,bacadaja,4
img_00001.png,ꦩꦧ,maba,2
img_00002.png,ꦱꦗꦲ,sajaha,3
img_00003.png,ꦮꦒꦔꦥꦩꦲ,wagangapamaha,6
img_00004.png,ꦮꦩꦏ,wamaka,3
img_00005.png,ꦔꦮꦛꦭꦠ,ngawathalata,5
img_00006.png,ꦪꦭꦥ,yalapa,3
img_00007.png,ꦛꦚꦱꦧ,thanyasaba,4
img_00008.png,ꦒꦏ,gaka,2
img_00009.png,ꦛꦢꦢꦗꦕꦲ,thadadajacaha,6
img_00010.png,ꦒꦕꦫꦤ,gacarana,4
img_00011.png,ꦤꦚꦒꦔꦝ,nanyagangadha,5
img_00012.png,ꦠꦚꦮ,tanyawa,3
img_00013.png,ꦭꦪꦱꦤ,layasana,4
img_00014.png,ꦩꦤꦥꦫꦏꦛ,manaparakatha,6
img_00015.png,ꦚꦤ,nyana,2
img_00016.png,ꦢꦠꦪꦛꦝ,datayathadha,5
img_00017.png,ꦧꦫ,bara,2
img_00018.png,ꦚꦔꦪꦗꦥ,nyangayajapa,5
img_00019.png,ꦪꦠꦠꦧꦱ,yatatabasa,5
img_00020.png,ꦫꦫꦚꦝ,raranyadha,4
img_00021.png,ꦲꦔꦢꦚ,hangadanya,4
img_00022.png,ꦧꦠꦒ,bataga,3
img_00023.png,ꦢꦭ,dala,2
img_00024.png,ꦭꦏꦱꦩꦛꦢ,lakasamathada,6
img_00025.png,ꦲꦗꦚꦠꦮ,hajanyatawa,5
img_00026.png,ꦢꦧꦤꦧꦱꦫ,dabanabasara,6
img_00027.png,ꦥꦕꦒꦮꦏ,pacagawaka,5
img_00028.png,ꦥꦢꦱꦗꦝ,padasajadha,5
img_00029.png,ꦏꦱꦮꦩꦥꦤ,kasawamapana,6
img_00030.png,ꦪꦥꦲ,yapaha,3
img_00031.png,ꦮꦭꦥ,walapa,3
img_00032.png,ꦚꦪꦤꦔꦩꦭ,nyayanangamala,6
img_00033.png,ꦗꦭꦕ,jalaca,3
img_00034.png,ꦝꦚꦤꦲꦒ,dhanyanahaga,5
img_00035.png,ꦧꦒꦠꦧ,bagataba,4
img_00036.png,ꦔꦕꦢꦚ,ngacadanya,4
img_00037.png,ꦮꦕ,waca,2
img_00038.png,ꦪꦔ,yanga,2
img_00039.png,ꦱꦥꦮ,sapawa,3
img_00040.png,ꦕꦫꦏꦏꦮꦱ,carakakawasa,6
img_00041.png,ꦤꦗꦠꦪꦭ,najatayala,5
img_00042.png,ꦏꦪ,kaya,2
img_00043.png,ꦤꦚꦫꦒꦧ,nanyaragaba,5
img_00044.png,ꦕꦗ,caja,2
img_00045.png,ꦥꦛꦚꦧꦩꦚ,pathanyabamanya,6
img_00046.png,ꦚꦭ,nyala,2
img_00047.png,ꦭꦪꦢꦝꦢꦮ,layadadhadawa,6
img_00048.png,ꦩꦢꦤꦝ,madanadha,4
img_00049.png,ꦏꦩꦮꦛ,kamawatha,4
img_00050.png,ꦕꦔꦒꦒꦝ,cangagagadha,5
img_00051.png,ꦫꦝꦢ,radhada,3
img_00052.png,ꦛꦛꦏ,thathaka,3
img_00053.png,ꦚꦪꦛ,nyayatha,3
img_00054.png,ꦲꦮꦠꦥꦚꦥ,hawatapanyapa,6
img_00055.png,ꦭꦒꦔꦠꦛ,lagangatatha,5
img_00056.png,ꦪꦥ,yapa,2
img_00057.png,ꦚꦕꦝꦭꦲ,nyacadhalaha,5
img_00058.png,ꦛꦕꦚꦪꦭꦭ,thacanyayalala,6
img_00059.png,ꦭꦒꦕꦮꦏ,lagacawaka,5
img_00060.png,ꦱꦫꦭꦛ,saralatha,4
img_00061.png,ꦤꦪꦔ,nayanga,3
img_00062.png,ꦥꦥ,papa,2
img_00063.png,ꦥꦲꦗꦕꦧ,pahajacaba,5
img_00064.png,ꦥꦔꦮ,pangawa,3
img_00065.png,ꦲꦤꦱ,hanasa,3
img_00066.png,ꦕꦥꦗꦔꦲ,capajangaha,5
img_00067.png,ꦛꦒꦩꦪꦲ,thagamayaha,5
img_00068.png,ꦒꦚ,ganya,2
img_00069.png,ꦧꦠꦗ,bataja,3
img_00070.png,ꦔꦫ,ngara,2
