image,transcription,transliteration,length,font_used
img_00043.png,ꦝꦢꦛꦤ,dhadathana,4,Noto Sans Javanese Regular
img_00044.png,ꦤꦗꦲꦱ,najahasa,4,Jamawi
img_00045.png,ꦚꦭꦤꦩꦪ,nyalanamaya,5,Noto Sans Javanese Regular
img_00046.png,ꦭꦮ,lawa,2,Nyk Ngayogyan Jejeg
img_00047.png,ꦛꦒꦢꦢꦩꦠ,thagadadamata,6,Djoharuddin
img_00048.png,ꦤꦔꦫꦧꦲ,nangarabaha,5,Jamawi
img_00049.png,ꦫꦝꦭꦪ,radhalaya,4,Nyk Ngayogyan Jejeg
img_00050.png,ꦫꦱꦝꦱꦕꦝ,rasadhasacadha,6,Nayaka New
img_00051.png,ꦲꦩ,hama,2,Nyk Ngayogyan New Italic
img_00052.png,ꦗꦱꦗꦫꦧ,jasajaraba,5,Nawatura Beta
img_00053.png,ꦲꦪꦚꦔ,hayanyanga,4,Djoharuddin
img_00054.png,ꦗꦏꦮꦪ,jakawaya,4,AB Bakul
img_00055.png,ꦒꦏꦠꦭꦕ,gakatalaca,5,Jamawi
img_00056.png,ꦭꦪꦕꦱꦧ,layacasaba,5,Tuladha Jejeg
img_00057.png,ꦚꦒꦚꦒ,nyaganyaga,4,Damarwulan
img_00058.png,ꦏꦠꦤꦮ,katanawa,4,New Kramawirya
img_00059.png,ꦤꦮꦚꦏꦮꦠ,nawanyakawata,6,Dhuwung
img_00060.png,ꦪꦭꦚꦔ,yalanyanga,4,Jamawi
img_00061.png,ꦭꦗ,laja,2,AB Wulang
img_00062.png,ꦪꦮꦮꦔꦒꦭ,yawawangagala,6,Sehulbari
img_00063.png,ꦢꦥ,dapa,2,AR Demak Beta
img_00064.png,ꦭꦠ,lata,2,CARAKAN JAWA
img_00065.png,ꦩꦲꦚꦫꦒ,mahanyaraga,5,Gumregah New FULL
img_00066.png,ꦒꦝꦢꦮꦱ,gadhadawasa,5,Dhuwung
img_00067.png,ꦤꦩꦫ,namara,3,AB Wulang
img_00068.png,ꦗꦔꦱꦒꦮ,jangasagawa,5,AB Wulang
img_00069.png,ꦥꦧ,paba,2,CARAKAN JAWA
img_00070.png,ꦤꦔꦩꦱꦏ,nangamasaka,5,Nayaka New
img_00071.png,ꦥꦲꦚꦭꦢ,pahanyalada,5,Sehulbari
img_00072.png,ꦤꦕꦧꦔꦔꦒ,nacabangangaga,6,AR Demak Beta
img_00073.png,ꦧꦫꦕꦒꦩ,baracagama,5,Sehulbari
img_00074.png,ꦕꦧꦤ,cabana,3,AR Demak Beta
img_00075.png,ꦔꦏꦕꦒꦪ,ngakacagaya,5,Gumregah New FULL
img_00076.png,ꦲꦏꦪꦕꦤ,hakayacana,5,CARAKAN JAWA
img_00077.png,ꦒꦥꦏꦝꦢꦕ,gapakadhadaca,6,Nayaka New
img_00078.png,ꦗꦚꦢ,janyada,3,Jamawi
img_00079.png,ꦱꦲꦝꦲ,sahadhaha,4,Sehulbari
img_00080.png,ꦛꦥꦩꦔꦛꦥ,thapamangathapa,6,CARAKAN JAWA
img_00081.png,ꦥꦲꦥꦲꦥꦧ,pahapahapaba,6,AB Wulang
img_00082.png,ꦤꦝꦭꦝꦫ,nadhaladhara,5,Nawatura Beta
img_00083.png,ꦕꦠꦔꦗꦲ,catangajaha,5,Djoharuddin
img_00084.png,ꦫꦮꦒꦏ,rawagaka,4,New Kramawirya
img_00085.png,ꦱꦧ,saba,2,Sehulbari
img_00086.png,ꦚꦕꦛꦔꦚꦧ,nyacathanganyaba,6,Damarwulan
img_00087.png,ꦢꦥꦠ,dapata,3,Djoharuddin
img_00088.png,ꦢꦚꦤꦧꦩ,danyanabama,5,Damarwulan
img_00089.png,ꦚꦤ,nyana,2,Nawatura Beta
img_00090.png,ꦒꦔ,ganga,2,Nyk Ngayogyan New Italic
img_00091.png,ꦪꦢ,yada,2,AB Bakul
img_00092.png,ꦩꦲꦲꦧꦒꦭ,mahahabagala,6,New Kramawirya
img_00093.png,ꦕꦩꦝꦠꦤꦗ,camadhatanaja,6,Dhuwung
img_00094.png,ꦢꦝꦤꦮ,dadhanawa,4,Dhuwung
img_00095.png,ꦢꦲ,daha,2,Damarwulan
img_00096.png,ꦫꦢ,rada,2,Nyk Ngayogyan New Italic
img_00097.png,ꦛꦪꦒ,thayaga,3,Nyk Ngayogyan Jejeg
img_00098.png,ꦏꦢꦫꦛꦗ,kadarathaja,5,CARAKAN JAWA
img_00099.png,ꦲꦤꦭꦭꦚꦥ,hanalalanyapa,6,Damarwulan
img_00100.png,ꦗꦩꦒꦠꦢꦧ,jamagatadaba,6,New Kramawirya
img_00101.png,ꦕꦚꦮꦏꦏꦗ,canyawakakaja,6,CARAKAN JAWA
img_00102.png,ꦛꦠ,thata,2,New Kramawirya
img_00103.png,ꦫꦪꦛ,rayatha,3,Dhuwung
img_00104.png,ꦤꦢꦗ,nadaja,3,Nawatura Beta
img_00105.png,ꦫꦛꦢ,rathada,3,AB Wulang
img_00106.png,ꦥꦕꦪꦧ,pacayaba,4,Nyk Ngayogyan Jejeg
img_00107.png,ꦒꦝꦮꦤꦔ,gadhawananga,5,Nayaka New
img_00108.png,ꦠꦱꦪꦝ,tasayadha,4,Nawatura Beta
img_00109.png,ꦲꦮꦫꦢꦥꦗ,hawaradapaja,6,New Kramawirya
img_00110.png,ꦢꦩꦫ,damara,3,Nayaka New
img_00111.png,ꦒꦏꦫꦚꦕ,gakaranyaca,5,Nyk Ngayogyan New Italic
img_00112.png,ꦫꦲꦝꦧ,rahadhaba,4,Noto Sans Javanese Regular
img_00113.png,ꦠꦢꦧꦒ,tadabaga,4,AB Wulang
img_00114.png,ꦔꦒꦫꦏ,ngagaraka,4,Nawatura Beta
img_00115.png,ꦥꦝ,padha,2,Gumregah New FULL
img_00116.png,ꦢꦥꦠꦱꦧꦪ,dapatasabaya,6,AB Wulang
img_00117.png,ꦝꦏꦩꦲꦝꦗ,dhakamahadhaja,6,AR Demak Beta
img_00118.png,ꦤꦫꦔ,naranga,3,Nawatura Beta
img_00119.png,ꦫꦥ,rapa,2,Noto Sans Javanese Regular
img_00120.png,ꦭꦔ,langa,2,Noto Sans Javanese Regular
img_00121.png,ꦕꦛ,catha,2,Gumregah New FULL
img_00122.png,ꦪꦚꦒ,yanyaga,3,Nawatura Beta
img_00123.png,ꦭꦔ,langa,2,New Kramawirya
img_00124.png,ꦥꦥ,papa,2,Nayaka New
img_00125.png,ꦥꦮꦤꦠ,pawanata,4,AB Wulang
img_00126.png,ꦝꦛ,dhatha,2,AR Demak Beta
img_00127.png,ꦫꦛꦤꦒꦒꦠ,rathanagagata,6,Tuladha Jejeg
img_00128.png,ꦪꦠꦝ,yatadha,3,Nyk Ngayogyan Jejeg
img_00129.png,ꦮꦤ,wana,2,Gumregah New FULL
