image,transcription,transliteration,length,font_used
img_00043_orig.png,ꦝꦢꦛꦤ,dhadathana,4,Noto Sans Javanese Regular
img_00043_aug1.png,ꦝꦢꦛꦤ,dhadathana,4,Noto Sans Javanese Regular
img_00043_aug2.png,ꦝꦢꦛꦤ,dhadathana,4,Noto Sans Javanese Regular
img_00044_orig.png,ꦤꦗꦲꦱ,najahasa,4,Jamawi
img_00044_aug1.png,ꦤꦗꦲꦱ,najahasa,4,Jamawi
img_00044_aug2.png,ꦤꦗꦲꦱ,najahasa,4,Jamawi
img_00045_orig.png,ꦚꦭꦤꦩꦪ,nyalanamaya,5,Noto Sans Javanese Regular
img_00045_aug1.png,ꦚꦭꦤꦩꦪ,nyalanamaya,5,Noto Sans Javanese Regular
img_00045_aug2.png,ꦚꦭꦤꦩꦪ,nyalanamaya,5,Noto Sans Javanese Regular
img_00046_orig.png,ꦭꦮ,lawa,2,Nyk Ngayogyan Jejeg
img_00046_aug1.png,ꦭꦮ,lawa,2,Nyk Ngayogyan Jejeg
img_00046_aug2.png,ꦭꦮ,lawa,2,Nyk Ngayogyan Jejeg
img_00047_orig.png,ꦛꦒꦢꦢꦩꦠ,thagadadamata,6,Djoharuddin
img_00047_aug1.png,ꦛꦒꦢꦢꦩꦠ,thagadadamata,6,Djoharuddin
img_00047_aug2.png,ꦛꦒꦢꦢꦩꦠ,thagadadamata,6,Djoharuddin
img_00048_orig.png,ꦤꦔꦫꦧꦲ,nangarabaha,5,Jamawi
img_00048_aug1.png,ꦤꦔꦫꦧꦲ,nangarabaha,5,Jamawi
img_00048_aug2.png,ꦤꦔꦫꦧꦲ,nangarabaha,5,Jamawi
img_00049_orig.png,ꦫꦝꦭꦪ,radhalaya,4,Nyk Ngayogyan Jejeg
img_00049_aug1.png,ꦫꦝꦭꦪ,radhalaya,4,Nyk Ngayogyan Jejeg
img_00049_aug2.png,ꦫꦝꦭꦪ,radhalaya,4,Nyk Ngayogyan Jejeg
img_00050_orig.png,ꦫꦱꦝꦱꦕꦝ,rasadhasacadha,6,Nayaka New
img_00050_aug1.png,ꦫꦱꦝꦱꦕꦝ,rasadhasacadha,6,Nayaka New
img_00050_aug2.png,ꦫꦱꦝꦱꦕꦝ,rasadhasacadha,6,Nayaka New
img_00051_orig.png,ꦲꦩ,hama,2,Nyk Ngayogyan New Italic
img_00051_aug1.png,ꦲꦩ,hama,2,Nyk Ngayogyan New Italic
img_00051_aug2.png,ꦲꦩ,hama,2,Nyk Ngayogyan New Italic
img_00052_orig.png,ꦗꦱꦗꦫꦧ,jasajaraba,5,Nawatura Beta
img_00052_aug1.png,ꦗꦱꦗꦫꦧ,jasajaraba,5,Nawatura Beta
img_00052_aug2.png,ꦗꦱꦗꦫꦧ,jasajaraba,5,Nawatura Beta
img_00053_orig.png,ꦲꦪꦚꦔ,hayanyanga,4,Djoharuddin
img_00053_aug1.png,ꦲꦪꦚꦔ,hayanyanga,4,Djoharuddin
img_00053_aug2.png,ꦲꦪꦚꦔ,hayanyanga,4,Djoharuddin
img_00054_orig.png,ꦗꦏꦮꦪ,jakawaya,4,AB Bakul
img_00054_aug1.png,ꦗꦏꦮꦪ,jakawaya,4,AB Bakul
img_00054_aug2.png,ꦗꦏꦮꦪ,jakawaya,4,AB Bakul
img_00055_orig.png,ꦒꦏꦠꦭꦕ,gakatalaca,5,Jamawi
img_00055_aug1.png,ꦒꦏꦠꦭꦕ,gakatalaca,5,Jamawi
img_00055_aug2.png,ꦒꦏꦠꦭꦕ,gakatalaca,5,Jamawi
img_00056_orig.png,ꦭꦪꦕꦱꦧ,layacasaba,5,Tuladha Jejeg
img_00056_aug1.png,ꦭꦪꦕꦱꦧ,layacasaba,5,Tuladha Jejeg
img_00056_aug2.png,ꦭꦪꦕꦱꦧ,layacasaba,5,Tuladha Jejeg
img_00057_orig.png,ꦚꦒꦚꦒ,nyaganyaga,4,Damarwulan
img_00057_aug1.png,ꦚꦒꦚꦒ,nyaganyaga,4,Damarwulan
img_00057_aug2.png,ꦚꦒꦚꦒ,nyaganyaga,4,Damarwulan
img_00058_orig.png,ꦏꦠꦤꦮ,katanawa,4,New Kramawirya
img_00058_aug1.png,ꦏꦠꦤꦮ,katanawa,4,New Kramawirya
img_00058_aug2.png,ꦏꦠꦤꦮ,katanawa,4,New Kramawirya
img_00059_orig.png,ꦤꦮꦚꦏꦮꦠ,nawanyakawata,6,Dhuwung
img_00059_aug1.png,ꦤꦮꦚꦏꦮꦠ,nawanyakawata,6,Dhuwung
img_00059_aug2.png,ꦤꦮꦚꦏꦮꦠ,nawanyakawata,6,Dhuwung
img_00060_orig.png,ꦪꦭꦚꦔ,yalanyanga,4,Jamawi
img_00060_aug1.png,ꦪꦭꦚꦔ,yalanyanga,4,Jamawi
img_00060_aug2.png,ꦪꦭꦚꦔ,yalanyanga,4,Jamawi
img_00061_orig.png,ꦭꦗ,laja,2,AB Wulang
img_00061_aug1.png,ꦭꦗ,laja,2,AB Wulang
img_00061_aug2.png,ꦭꦗ,laja,2,AB Wulang
img_00062_orig.png,ꦪꦮꦮꦔꦒꦭ,yawawangagala,6,Sehulbari
img_00062_aug1.png,ꦪꦮꦮꦔꦒꦭ,yawawangagala,6,Sehulbari
img_00062_aug2.png,ꦪꦮꦮꦔꦒꦭ,yawawangagala,6,Sehulbari
img_00063_orig.png,ꦢꦥ,dapa,2,AR Demak Beta
img_00063_aug1.png,ꦢꦥ,dapa,2,AR Demak Beta
img_00063_aug2.png,ꦢꦥ,dapa,2,AR Demak Beta
img_00064_orig.png,ꦭꦠ,lata,2,CARAKAN JAWA
img_00064_aug1.png,ꦭꦠ,lata,2,CARAKAN JAWA
img_00064_aug2.png,ꦭꦠ,lata,2,CARAKAN JAWA
img_00065_orig.png,ꦩꦲꦚꦫꦒ,mahanyaraga,5,Gumregah New FULL
img_00065_aug1.png,ꦩꦲꦚꦫꦒ,mahanyaraga,5,Gumregah New FULL
img_00065_aug2.png,ꦩꦲꦚꦫꦒ,mahanyaraga,5,Gumregah New FULL
img_00066_orig.png,ꦒꦝꦢꦮꦱ,gadhadawasa,5,Dhuwung
img_00066_aug1.png,ꦒꦝꦢꦮꦱ,gadhadawasa,5,Dhuwung
img_00066_aug2.png,ꦒꦝꦢꦮꦱ,gadhadawasa,5,Dhuwung
img_00067_orig.png,ꦤꦩꦫ,namara,3,AB Wulang
img_00067_aug1.png,ꦤꦩꦫ,namara,3,AB Wulang
img_00067_aug2.png,ꦤꦩꦫ,namara,3,AB Wulang
img_00068_orig.png,ꦗꦔꦱꦒꦮ,jangasagawa,5,AB Wulang
img_00068_aug1.png,ꦗꦔꦱꦒꦮ,jangasagawa,5,AB Wulang
img_00068_aug2.png,ꦗꦔꦱꦒꦮ,jangasagawa,5,AB Wulang
img_00069_orig.png,ꦥꦧ,paba,2,CARAKAN JAWA
img_00069_aug1.png,ꦥꦧ,paba,2,CARAKAN JAWA
img_00069_aug2.png,ꦥꦧ,paba,2,CARAKAN JAWA
img_00070_orig.png,ꦤꦔꦩꦱꦏ,nangamasaka,5,Nayaka New
img_00070_aug1.png,ꦤꦔꦩꦱꦏ,nangamasaka,5,Nayaka New
img_00070_aug2.png,ꦤꦔꦩꦱꦏ,nangamasaka,5,Nayaka New
img_00071_orig.png,ꦥꦲꦚꦭꦢ,pahanyalada,5,Sehulbari
img_00071_aug1.png,ꦥꦲꦚꦭꦢ,pahanyalada,5,Sehulbari
img_00071_aug2.png,ꦥꦲꦚꦭꦢ,pahanyalada,5,Sehulbari
img_00072_orig.png,ꦤꦕꦧꦔꦔꦒ,nacabangangaga,6,AR Demak Beta
img_00072_aug1.png,ꦤꦕꦧꦔꦔꦒ,nacabangangaga,6,AR Demak Beta
img_00072_aug2.png,ꦤꦕꦧꦔꦔꦒ,nacabangangaga,6,AR Demak Beta
img_00073_orig.png,ꦧꦫꦕꦒꦩ,baracagama,5,Sehulbari
img_00073_aug1.png,ꦧꦫꦕꦒꦩ,baracagama,5,Sehulbari
img_00073_aug2.png,ꦧꦫꦕꦒꦩ,baracagama,5,Sehulbari
img_00074_orig.png,ꦕꦧꦤ,cabana,3,AR Demak Beta
img_00074_aug1.png,ꦕꦧꦤ,cabana,3,AR Demak Beta
img_00074_aug2.png,ꦕꦧꦤ,cabana,3,AR Demak Beta
img_00075_orig.png,ꦔꦏꦕꦒꦪ,ngakacagaya,5,Gumregah New FULL
img_00075_aug1.png,ꦔꦏꦕꦒꦪ,ngakacagaya,5,Gumregah New FULL
img_00075_aug2.png,ꦔꦏꦕꦒꦪ,ngakacagaya,5,Gumregah New FULL
img_00076_orig.png,ꦲꦏꦪꦕꦤ,hakayacana,5,CARAKAN JAWA
img_00076_aug1.png,ꦲꦏꦪꦕꦤ,hakayacana,5,CARAKAN JAWA
img_00076_aug2.png,ꦲꦏꦪꦕꦤ,hakayacana,5,CARAKAN JAWA
img_00077_orig.png,ꦒꦥꦏꦝꦢꦕ,gapakadhadaca,6,Nayaka New
img_00077_aug1.png,ꦒꦥꦏꦝꦢꦕ,gapakadhadaca,6,Nayaka New
img_00077_aug2.png,ꦒꦥꦏꦝꦢꦕ,gapakadhadaca,6,Nayaka New
img_00078_orig.png,ꦗꦚꦢ,janyada,3,Jamawi
img_00078_aug1.png,ꦗꦚꦢ,janyada,3,Jamawi
img_00078_aug2.png,ꦗꦚꦢ,janyada,3,Jamawi
img_00079_orig.png,ꦱꦲꦝꦲ,sahadhaha,4,Sehulbari
img_00079_aug1.png,ꦱꦲꦝꦲ,sahadhaha,4,Sehulbari
img_00079_aug2.png,ꦱꦲꦝꦲ,sahadhaha,4,Sehulbari
img_00080_orig.png,ꦛꦥꦩꦔꦛꦥ,thapamangathapa,6,CARAKAN JAWA
img_00080_aug1.png,ꦛꦥꦩꦔꦛꦥ,thapamangathapa,6,CARAKAN JAWA
img_00080_aug2.png,ꦛꦥꦩꦔꦛꦥ,thapamangathapa,6,CARAKAN JAWA
