image,transcription,transliteration,length
img_00000.png,ꦧꦫꦭꦗꦮꦤ,baralajawana,6
img_00001.png,ꦕꦚ,canya,2
img_00002.png,ꦢꦱꦪꦛꦒ,dasayathaga,5
img_00003.png,ꦲꦫ,hara,2
img_00004.png,ꦔꦱꦩꦏ,ngasamaka,4
img_00005.png,ꦧꦱꦏꦠ,basakata,4
img_00006.png,ꦫꦧꦲꦧꦝꦥ,rabahabadhapa,6
img_00007.png,ꦫꦩꦥꦧ,ramapaba,4
img_00008.png,ꦮꦤ,wana,2
img_00009.png,ꦔꦠ,ngata,2
img_00010.png,ꦏꦗꦲ,kajaha,3
img_00011.png,ꦒꦝ,gadha,2
img_00012.png,ꦲꦮꦭꦕꦠ,hawalacata,5
img_00013.png,ꦛꦧ,thaba,2
img_00014.png,ꦗꦩꦩꦕꦗꦧ,jamamacajaba,6
img_00015.png,ꦗꦏꦮꦲꦏꦝ,jakawahakadha,6
img_00016.png,ꦝꦪꦗꦔꦠ,dhayajangata,5
img_00017.png,ꦩꦔꦛꦕꦤ,mangathacana,5
img_00018.png,ꦲꦢꦲ,hadaha,3
img_00019.png,ꦩꦢꦒꦒꦥ,madagagapa,5
img_00020.png,ꦥꦥꦛ,papatha,3
img_00021.png,ꦢꦏꦤꦚ,dakananya,4
img_00022.png,ꦕꦚ,canya,2
img_00023.png,ꦝꦏꦫ,dhakara,3
img_00024.png,ꦭꦪꦕꦝꦭ,layacadhala,5
img_00025.png,ꦮꦚꦝꦭꦫꦛ,wanyadhalaratha,6
img_00026.png,ꦔꦩꦥ,ngamapa,3
img_00027.png,ꦔꦩꦏ,ngamaka,3
img_00028.png,ꦱꦪꦤ,sayana,3
img_00029.png,ꦠꦠꦮ,tatawa,3
img_00030.png,ꦝꦥ,dhapa,2
img_00031.png,ꦲꦪꦛ,hayatha,3
img_00032.png,ꦭꦛꦱꦠꦮꦲ,lathasatawaha,6
img_00033.png,ꦢꦒꦢꦱꦭ,dagadasala,5
img_00034.png,ꦫꦤꦚ,rananya,3
img_00035.png,ꦒꦩꦭꦛꦱꦒ,gamalathasaga,6
img_00036.png,ꦏꦭꦏ,kalaka,3
img_00037.png,ꦗꦗꦥꦫ,jajapara,4
img_00038.png,ꦭꦧꦪꦒꦥ,labayagapa,5
img_00039.png,ꦕꦫꦫꦝ,cararadha,4
img_00040.png,ꦲꦔꦪ,hangaya,3
img_00041.png,ꦛꦤꦗꦲꦚꦛ,thanajahanyatha,6
img_00042.png,ꦛꦮꦠ,thawata,3
img_00043.png,ꦝꦢꦛꦤ,dhadathana,4
img_00044.png,ꦤꦗꦲꦱ,najahasa,4
img_00045.png,ꦚꦭꦤꦩꦪ,nyalanamaya,5
img_00046.png,ꦭꦮ,lawa,2
img_00047.png,ꦛꦒꦢꦢꦩꦠ,thagadadamata,6
