image,transcription,transliteration,length,font_used,group_id
img_00044_orig.png,ꦤꦗꦲꦱ,najahasa,4,Jamawi,img_00044
img_00044_aug1.png,ꦤꦗꦲꦱ,najahasa,4,Jamawi,img_00044
img_00044_aug2.png,ꦤꦗꦲꦱ,najahasa,4,Jamawi,img_00044
img_00045_orig.png,ꦚꦭꦤꦩꦪ,nyalanamaya,5,Noto Sans Javanese Regular,img_00045
img_00045_aug1.png,ꦚꦭꦤꦩꦪ,nyalanamaya,5,Noto Sans Javanese Regular,img_00045
img_00045_aug2.png,ꦚꦭꦤꦩꦪ,nyalanamaya,5,Noto Sans Javanese Regular,img_00045
img_00047_orig.png,ꦛꦒꦢꦢꦩꦠ,thagadadamata,6,Djoharuddin,img_00047
img_00047_aug1.png,ꦛꦒꦢꦢꦩꦠ,thagadadamata,6,Djoharuddin,img_00047
img_00047_aug2.png,ꦛꦒꦢꦢꦩꦠ,thagadadamata,6,Djoharuddin,img_00047
img_00048_orig.png,ꦤꦔꦫꦧꦲ,nangarabaha,5,Jamawi,img_00048
img_00048_aug1.png,ꦤꦔꦫꦧꦲ,nangarabaha,5,Jamawi,img_00048
img_00048_aug2.png,ꦤꦔꦫꦧꦲ,nangarabaha,5,Jamawi,img_00048
img_00049_orig.png,ꦫꦝꦭꦪ,radhalaya,4,Nyk Ngayogyan Jejeg,img_00049
img_00049_aug1.png,ꦫꦝꦭꦪ,radhalaya,4,Nyk Ngayogyan Jejeg,img_00049
img_00049_aug2.png,ꦫꦝꦭꦪ,radhalaya,4,Nyk Ngayogyan Jejeg,img_00049
img_00050_orig.png,ꦫꦱꦝꦱꦕꦝ,rasadhasacadha,6,Nayaka New,img_00050
img_00050_aug1.png,ꦫꦱꦝꦱꦕꦝ,rasadhasacadha,6,Nayaka New,img_00050
img_00050_aug2.png,ꦫꦱꦝꦱꦕꦝ,rasadhasacadha,6,Nayaka New,img_00050
img_00052_orig.png,ꦗꦱꦗꦫꦧ,jasajaraba,5,Nawatura Beta,img_00052
img_00052_aug1.png,ꦗꦱꦗꦫꦧ,jasajaraba,5,Nawatura Beta,img_00052
img_00052_aug2.png,ꦗꦱꦗꦫꦧ,jasajaraba,5,Nawatura Beta,img_00052
img_00054_orig.png,ꦗꦏꦮꦪ,jakawaya,4,AB Bakul,img_00054
img_00054_aug1.png,ꦗꦏꦮꦪ,jakawaya,4,AB Bakul,img_00054
img_00054_aug2.png,ꦗꦏꦮꦪ,jakawaya,4,AB Bakul,img_00054
img_00055_orig.png,ꦒꦏꦠꦭꦕ,gakatalaca,5,Jamawi,img_00055
img_00055_aug1.png,ꦒꦏꦠꦭꦕ,gakatalaca,5,Jamawi,img_00055
img_00055_aug2.png,ꦒꦏꦠꦭꦕ,gakatalaca,5,Jamawi,img_00055
img_00059_orig.png,ꦤꦮꦚꦏꦮꦠ,nawanyakawata,6,Dhuwung,img_00059
img_00059_aug1.png,ꦤꦮꦚꦏꦮꦠ,nawanyakawata,6,Dhuwung,img_00059
img_00059_aug2.png,ꦤꦮꦚꦏꦮꦠ,nawanyakawata,6,Dhuwung,img_00059
img_00060_orig.png,ꦪꦭꦚꦔ,yalanyanga,4,Jamawi,img_00060
img_00060_aug1.png,ꦪꦭꦚꦔ,yalanyanga,4,Jamawi,img_00060
img_00060_aug2.png,ꦪꦭꦚꦔ,yalanyanga,4,Jamawi,img_00060
img_00061_orig.png,ꦭꦗ,laja,2,AB Wulang,img_00061
img_00061_aug1.png,ꦭꦗ,laja,2,AB Wulang,img_00061
img_00061_aug2.png,ꦭꦗ,laja,2,AB Wulang,img_00061
img_00062_orig.png,ꦪꦮꦮꦔꦒꦭ,yawawangagala,6,Sehulbari,img_00062
img_00062_aug1.png,ꦪꦮꦮꦔꦒꦭ,yawawangagala,6,Sehulbari,img_00062
img_00062_aug2.png,ꦪꦮꦮꦔꦒꦭ,yawawangagala,6,Sehulbari,img_00062
img_00064_orig.png,ꦭꦠ,lata,2,CARAKAN JAWA,img_00064
img_00064_aug1.png,ꦭꦠ,lata,2,CARAKAN JAWA,img_00064
img_00064_aug2.png,ꦭꦠ,lata,2,CARAKAN JAWA,img_00064
img_00065_orig.png,ꦩꦲꦚꦫꦒ,mahanyaraga,5,Gumregah New FULL,img_00065
