image,transcription,transliteration,length
h_img_00120.png,ꦪꦒꦲꦗꦠꦧ,yagahajataba,6
h_img_00363.png,ꦝꦱꦛꦛꦔꦢ,dhasathathangada,6
h_img_00227.png,ꦤꦮꦗꦭꦢꦛ,nawajaladatha,6
h_img_00117.png,ꦗꦱꦱꦚ,jasasanya,4
h_img_00046.png,ꦥꦮ,pawa,2
h_img_00212.png,ꦝꦢꦪ,dhadaya,3
h_img_00350.png,ꦲꦱ,hasa,2
h_img_00203.png,ꦭꦱꦭ,lasala,3
h_img_00095.png,ꦩꦗꦫꦝꦗ,majaradhaja,5
h_img_00317.png,ꦒꦕꦪꦥꦛꦏ,gacayapathaka,6
h_img_00395.png,ꦮꦭꦩꦠ,walamata,4
h_img_00155.png,ꦥꦔꦚꦥꦲ,panganyapaha,5
h_img_00140.png,ꦪꦭ,yala,2
h_img_00076.png,ꦩꦭꦲꦔ,malahanga,4
h_img_00169.png,ꦠꦤꦗ,tanaja,3
h_img_00170.png,ꦲꦕ,haca,2
h_img_00315.png,ꦤꦚꦱꦛ,nanyasatha,4
h_img_00197.png,ꦝꦮꦮꦧꦮ,dhawawabawa,5
h_img_00068.png,ꦫꦱꦠꦠꦠꦧ,rasatatataba,6
h_img_00081.png,ꦝꦲꦏ,dhahaka,3
h_img_00015.png,ꦥꦩꦧ,pamaba,3
h_img_00261.png,ꦔꦛꦒꦕꦤ,ngathagacana,5
h_img_00385.png,ꦠꦝꦪꦲ,tadhayaha,4
h_img_00005.png,ꦕꦮꦤ,cawana,3
h_img_00122.png,ꦢꦔꦝꦔꦲ,dangadhangaha,5
h_img_00132.png,ꦝꦤ,dhana,2
h_img_00194.png,ꦔꦮꦔ,ngawanga,3
h_img_00138.png,ꦠꦕꦪꦮꦭ,tacayawala,5
h_img_00364.png,ꦗꦤꦠꦠꦮ,janatatawa,5
h_img_00293.png,ꦔꦚꦲꦱꦧ,nganyahasaba,5
h_img_00057.png,ꦪꦫꦥ,yarapa,3
h_img_00255.png,ꦕꦏ,caka,2
h_img_00399.png,ꦏꦗꦱꦔꦥ,kajasangapa,5
h_img_00031.png,ꦕꦚ,canya,2
h_img_00096.png,ꦥꦫꦠꦝꦢꦛ,paratadhadatha,6
h_img_00119.png,ꦭꦤꦱꦥꦲꦮ,lanasapahawa,6
h_img_00270.png,ꦚꦤꦏ,nyanaka,3
h_img_00308.png,ꦤꦩ,nama,2
h_img_00296.png,ꦛꦤꦭ,thanala,3
h_img_00209.png,ꦛꦥꦗꦱꦏ,thapajasaka,5
h_img_00191.png,ꦤꦮꦩꦮ,nawamawa,4
h_img_00226.png,ꦠꦠꦝꦮꦢ,tatadhawada,5
h_img_00340.png,ꦠꦔꦏ,tangaka,3
h_img_00357.png,ꦤꦚꦕꦪꦥ,nanyacayapa,5
h_img_00301.png,ꦮꦔ,wanga,2
h_img_00282.png,ꦪꦛꦒꦏ,yathagaka,4
h_img_00012.png,ꦥꦧꦛꦏꦒ,pabathakaga,5
h_img_00248.png,ꦛꦲ,thaha,2
h_img_00206.png,ꦭꦮꦩ,lawama,3
h_img_00331.png,ꦲꦒꦪꦧ,hagayaba,4
