image,transcription,transliteration,length,font_used
s_img_00296.png,ꦏꦔꦪꦚꦱꦠ,kangayanyasata,6,AB Bakul
s_img_00002.png,ꦒꦩ,gama,2,Noto Sans Javanese Regular
s_img_00129.png,ꦮꦩꦔ,wamanga,3,AB Bakul
s_img_01186.png,ꦩꦱꦗꦗꦮꦲ,masajajawaha,6,CARAKAN JAWA
s_img_00771.png,ꦝꦛ,dhatha,2,Nayaka New
s_img_00265.png,ꦗꦏ,jaka,2,AR Demak Beta
s_img_00618.png,ꦚꦔꦏꦔꦩ,nyangakangama,5,Sehulbari
s_img_01197.png,ꦛꦝ,thadha,2,Djoharuddin
s_img_01118.png,ꦥꦔꦱꦮ,pangasawa,4,Dhuwung
s_img_00328.png,ꦢꦕꦔꦛ,dacangatha,4,AB Wulang
s_img_00804.png,ꦝꦲ,dhaha,2,Nyk Ngayogyan Jejeg
s_img_00023.png,ꦮꦔꦪꦥꦲꦤ,wangayapahana,6,Gumregah New FULL
s_img_00812.png,ꦮꦝꦚꦚꦪꦥ,wadhanyanyayapa,6,New Kramawirya
s_img_00592.png,ꦒꦝꦢꦝ,gadhadadha,4,Dhuwung
s_img_00998.png,ꦛꦛ,thatha,2,Damarwulan
s_img_00662.png,ꦔꦛꦕꦔꦒ,ngathacangaga,5,Nawatura Beta
s_img_00197.png,ꦩꦢꦮꦗꦲꦛ,madawajahatha,6,Gumregah New FULL
s_img_00013.png,ꦮꦩꦱꦒꦛ,wamasagatha,5,Sehulbari
s_img_00550.png,ꦔꦗꦥ,ngajapa,3,Noto Sans Javanese Regular
s_img_01112.png,ꦕꦗꦲꦩꦱꦲ,cajahamasaha,6,Damarwulan
s_img_01099.png,ꦩꦒꦏꦥꦭꦱ,magakapalasa,6,Nyk Ngayogyan Jejeg
s_img_00384.png,ꦒꦧꦠꦫ,gabatara,4,Nyk Ngayogyan Jejeg
s_img_00578.png,ꦔꦒꦤ,ngagana,3,Djoharuddin
s_img_00552.png,ꦒꦗꦢꦢꦝꦢ,gajadadadhada,6,Nayaka New
s_img_01095.png,ꦕꦝꦤꦝꦕ,cadhanadhaca,5,Nayaka New
s_img_00740.png,ꦕꦲꦥꦗꦛꦪ,cahapajathaya,6,Jamawi
s_img_00298.png,ꦒꦲ,gaha,2,Tuladha Jejeg
s_img_00154.png,ꦲꦢ,hada,2,Jamawi
s_img_01018.png,ꦤꦥꦥꦏꦔ,napapakanga,5,Sehulbari
s_img_00045.png,ꦮꦚꦏꦗ,wanyakaja,4,CARAKAN JAWA
s_img_01074.png,ꦥꦚꦤ,panyana,3,Nyk Ngayogyan New Italic
s_img_00831.png,ꦲꦮꦭꦝꦝꦕ,hawaladhadhaca,6,Sehulbari
s_img_00472.png,ꦛꦥꦩꦏꦱ,thapamakasa,5,Djoharuddin
s_img_00928.png,ꦚꦫ,nyara,2,New Kramawirya
s_img_00613.png,ꦒꦭ,gala,2,Sehulbari
s_img_01172.png,ꦩꦧꦧꦱ,mababasa,4,AR Demak Beta
s_img_00647.png,ꦚꦗ,nyaja,2,Noto Sans Javanese Regular
s_img_00324.png,ꦮꦤꦢꦤꦭꦝ,wanadanaladha,6,Djoharuddin
s_img_00601.png,ꦠꦔꦛꦲꦮ,tangathahawa,5,AR Demak Beta
s_img_00727.png,ꦮꦕꦗꦫꦤꦗ,wacajaranaja,6,AR Demak Beta
s_img_00392.png,ꦱꦪꦏꦢ,sayakada,4,AB Wulang
s_img_00233.png,ꦛꦛꦏꦢꦮ,thathakadawa,5,Tuladha Jejeg
s_img_00490.png,ꦒꦲꦤꦢ,gahanada,4,Nayaka New
s_img_00772.png,ꦔꦏꦮ,ngakawa,3,Damarwulan
s_img_00818.png,ꦕꦧꦗꦗꦗꦚ,cabajajajanya,6,AB Wulang
s_img_00511.png,ꦫꦫ,rara,2,Djoharuddin
s_img_00299.png,ꦫꦚꦥꦏꦗꦛ,ranyapakajatha,6,Sehulbari
s_img_00811.png,ꦗꦤꦕꦤꦤ,janacanana,5,Nyk Ngayogyan Jejeg
s_img_01085.png,ꦚꦭꦩ,nyalama,3,AR Demak Beta
s_img_00435.png,ꦥꦏꦭꦮꦢꦫ,pakalawadara,6,CARAKAN JAWA
s_img_00036.png,ꦢꦒꦩꦮꦩꦩ,dagamawamama,6,Sehulbari
s_img_00450.png,ꦗꦢꦪꦒ,jadayaga,4,Noto Sans Javanese Regular
s_img_00318.png,ꦱꦭꦢꦪꦏ,saladayaka,5,Damarwulan
s_img_00769.png,ꦤꦏꦲ,nakaha,3,Nyk Ngayogyan New Italic
s_img_01033.png,ꦫꦲꦏꦏ,rahakaka,4,Gumregah New FULL
s_img_00981.png,ꦒꦕꦏꦧꦒꦠ,gacakabagata,6,New Kramawirya
s_img_00231.png,ꦭꦩꦫꦝ,lamaradha,4,AB Bakul
s_img_00357.png,ꦲꦤꦱꦱꦏꦧ,hanasasakaba,6,AB Bakul
s_img_00150.png,ꦗꦢꦢꦔꦗ,jadadangaja,5,CARAKAN JAWA
s_img_01182.png,ꦱꦚꦏꦒꦤ,sanyakagana,5,Nyk Ngayogyan New Italic
s_img_01094.png,ꦥꦫꦒꦛꦏꦲ,paragathakaha,6,Jamawi
s_img_00213.png,ꦛꦠꦏ,thataka,3,Nawatura Beta
s_img_00035.png,ꦭꦭꦛꦠꦏꦩ,lalathatakama,6,New Kramawirya
s_img_00070.png,ꦚꦮꦧꦠꦩꦒ,nyawabatamaga,6,Tuladha Jejeg
s_img_00337.png,ꦔꦫꦥꦭ,ngarapala,4,AB Bakul
s_img_00966.png,ꦝꦲꦚꦮꦢꦮ,dhahanyawadawa,6,Nawatura Beta
s_img_01086.png,ꦔꦧꦒꦔꦲꦩ,ngabagangahama,6,Nawatura Beta
s_img_01113.png,ꦭꦤ,lana,2,CARAKAN JAWA
s_img_00590.png,ꦠꦤꦤꦛꦝ,tananathadha,5,AR Demak Beta
s_img_00733.png,ꦕꦥꦝꦗꦏꦪ,capadhajakaya,6,Dhuwung
s_img_00783.png,ꦏꦒꦒ,kagaga,3,Gumregah New FULL
s_img_00562.png,ꦱꦲꦧꦔꦫꦤ,sahabangarana,6,Nawatura Beta
s_img_00787.png,ꦥꦕꦕꦮꦠꦢ,pacacawatada,6,Jamawi
s_img_00477.png,ꦧꦕꦏ,bacaka,3,Nyk Ngayogyan New Italic
s_img_00859.png,ꦤꦤꦫ,nanara,3,Nawatura Beta
s_img_01037.png,ꦠꦮꦔꦗ,tawangaja,4,Nyk Ngayogyan Jejeg
s_img_00236.png,ꦛꦩꦕꦔꦲꦮ,thamacangahawa,6,Gumregah New FULL
s_img_00152.png,ꦛꦪꦤꦮ,thayanawa,4,AR Demak Beta
s_img_00462.png,ꦤꦥ,napa,2,Djoharuddin
s_img_01079.png,ꦒꦲꦮꦚꦫ,gahawanyara,5,Gumregah New FULL
s_img_00696.png,ꦠꦒꦢꦛꦥꦒ,tagadathapaga,6,AB Bakul
s_img_00695.png,ꦏꦏꦭ,kakala,3,AR Demak Beta
s_img_00474.png,ꦏꦮꦤꦛꦏꦤ,kawanathakana,6,Dhuwung
s_img_00934.png,ꦏꦪꦭꦱ,kayalasa,4,Nyk Ngayogyan Jejeg
s_img_00782.png,ꦗꦠꦭꦢꦲ,jataladaha,5,Nyk Ngayogyan Jejeg
s_img_00889.png,ꦝꦮꦤꦲ,dhawanaha,4,Dhuwung
s_img_00216.png,ꦭꦛꦱ,lathasa,3,Sehulbari
s_img_00770.png,ꦩꦱꦔ,masanga,3,Nyk Ngayogyan New Italic
s_img_01139.png,ꦗꦱꦔꦝ,jasangadha,4,Damarwulan
s_img_00521.png,ꦗꦩꦪꦢꦛ,jamayadatha,5,Sehulbari
s_img_00867.png,ꦒꦒꦚꦭ,gaganyala,4,Jamawi
s_img_00715.png,ꦱꦥꦚꦱꦱꦏ,sapanyasasaka,6,Nyk Ngayogyan Jejeg
s_img_00681.png,ꦪꦕꦒꦝ,yacagadha,4,New Kramawirya
s_img_00121.png,ꦭꦩꦠ,lamata,3,Dhuwung
s_img_00756.png,ꦗꦤꦥ,janapa,3,AB Wulang
s_img_00454.png,ꦮꦕꦗꦏ,wacajaka,4,Tuladha Jejeg
s_img_00342.png,ꦔꦱ,ngasa,2,Nayaka New
s_img_00544.png,ꦫꦮꦪ,rawaya,3,AB Wulang
s_img_01053.png,ꦮꦔꦲꦗꦮꦫ,wangahajawara,6,Damarwulan
s_img_00008.png,ꦧꦠꦥ,batapa,3,Nyk Ngayogyan New Italic
s_img_00970.png,ꦲꦱꦫꦗ,hasaraja,4,CARAKAN JAWA
s_img_01040.png,ꦤꦛꦒꦱꦔ,nathagasanga,5,AR Demak Beta
s_img_01046.png,ꦠꦠꦮ,tatawa,3,Tuladha Jejeg
s_img_00069.png,ꦧꦚꦗꦠꦮ,banyajatawa,5,Nawatura Beta
s_img_01180.png,ꦮꦪꦢ,wayada,3,Damarwulan
s_img_00083.png,ꦔꦫꦗꦒꦩ,ngarajagama,5,Noto Sans Javanese Regular
s_img_00074.png,ꦧꦛ,batha,2,Djoharuddin
s_img_00039.png,ꦤꦫꦥ,narapa,3,New Kramawirya
