image,transcription,transliteration,length,font_used
s_img_00837_aug1.png,ꦲꦥꦝ,hapadha,3,Nayaka New
s_img_00837_aug2.png,ꦲꦥꦝ,hapadha,3,Nayaka New
s_img_00582_aug1.png,ꦗꦔꦗꦛꦫꦝ,jangajatharadha,6,Noto Sans Javanese Regular
s_img_00582_aug2.png,ꦗꦔꦗꦛꦫꦝ,jangajatharadha,6,Noto Sans Javanese Regular
s_img_01079_aug1.png,ꦏꦏꦮꦝ,kakawadha,4,CARAKAN JAWA
s_img_01079_aug2.png,ꦏꦏꦮꦝ,kakawadha,4,CARAKAN JAWA
s_img_00795_aug1.png,ꦒꦔꦒꦥꦪ,gangagapaya,5,AR Demak Beta
s_img_00795_aug2.png,ꦒꦔꦒꦥꦪ,gangagapaya,5,AR Demak Beta
s_img_00671_aug1.png,ꦏꦱꦭꦮꦥ,kasalawapa,5,Nyk Ngayogyan New Italic
s_img_00671_aug2.png,ꦏꦱꦭꦮꦥ,kasalawapa,5,Nyk Ngayogyan New Italic
s_img_00767_aug1.png,ꦭꦮꦪꦗꦝꦚ,lawayajadhanya,6,New Kramawirya
s_img_00767_aug2.png,ꦭꦮꦪꦗꦝꦚ,lawayajadhanya,6,New Kramawirya
s_img_00206_aug1.png,ꦧꦧꦗꦚ,babajanya,4,Tuladha Jejeg
s_img_00206_aug2.png,ꦧꦧꦗꦚ,babajanya,4,Tuladha Jejeg
s_img_00517_aug1.png,ꦩꦲꦲꦧꦧ,mahahababa,5,AB Bakul
s_img_00517_aug2.png,ꦩꦲꦲꦧꦧ,mahahababa,5,AB Bakul
s_img_00786_aug1.png,ꦢꦥꦤꦲ,dapanaha,4,Gumregah New FULL
s_img_00786_aug2.png,ꦢꦥꦤꦲ,dapanaha,4,Gumregah New FULL
s_img_00311_aug1.png,ꦚꦭꦮꦛꦤ,nyalawathana,5,Noto Sans Javanese Regular
s_img_00311_aug2.png,ꦚꦭꦮꦛꦤ,nyalawathana,5,Noto Sans Javanese Regular
s_img_00770_aug1.png,ꦔꦔꦭꦭꦫꦩ,ngangalalarama,6,CARAKAN JAWA
s_img_00770_aug2.png,ꦔꦔꦭꦭꦫꦩ,ngangalalarama,6,CARAKAN JAWA
s_img_01134_aug1.png,ꦔꦗ,ngaja,2,Jamawi
s_img_01134_aug2.png,ꦔꦗ,ngaja,2,Jamawi
s_img_00111_aug1.png,ꦏꦲꦫ,kahara,3,Noto Sans Javanese Regular
s_img_00111_aug2.png,ꦏꦲꦫ,kahara,3,Noto Sans Javanese Regular
s_img_00755_aug1.png,ꦝꦤꦒꦢꦕꦭ,dhanagadacala,6,CARAKAN JAWA
s_img_00755_aug2.png,ꦝꦤꦒꦢꦕꦭ,dhanagadacala,6,CARAKAN JAWA
s_img_00322_aug1.png,ꦔꦏꦥꦕ,ngakapaca,4,New Kramawirya
s_img_00322_aug2.png,ꦔꦏꦥꦕ,ngakapaca,4,New Kramawirya
s_img_00509_aug1.png,ꦛꦪꦭꦏꦠꦥ,thayalakatapa,6,Nawatura Beta
s_img_00509_aug2.png,ꦛꦪꦭꦏꦠꦥ,thayalakatapa,6,Nawatura Beta
s_img_00876_aug1.png,ꦗꦮ,jawa,2,CARAKAN JAWA
s_img_00876_aug2.png,ꦗꦮ,jawa,2,CARAKAN JAWA
s_img_00473_aug1.png,ꦒꦪꦚ,gayanya,3,Nayaka New
s_img_00473_aug2.png,ꦒꦪꦚ,gayanya,3,Nayaka New
s_img_01096_aug1.png,ꦥꦝꦔ,padhanga,3,Sehulbari
s_img_01096_aug2.png,ꦥꦝꦔ,padhanga,3,Sehulbari
s_img_00552_aug1.png,ꦚꦫꦏ,nyaraka,3,Noto Sans Javanese Regular
s_img_00552_aug2.png,ꦚꦫꦏ,nyaraka,3,Noto Sans Javanese Regular
s_img_01004_aug1.png,ꦢꦥꦪ,dapaya,3,Sehulbari
s_img_01004_aug2.png,ꦢꦥꦪ,dapaya,3,Sehulbari
s_img_00756_aug1.png,ꦗꦏꦒꦛꦲꦢ,jakagathahada,6,Nyk Ngayogyan Jejeg
s_img_00756_aug2.png,ꦗꦏꦒꦛꦲꦢ,jakagathahada,6,Nyk Ngayogyan Jejeg
s_img_00792_aug1.png,ꦝꦭꦏ,dhalaka,3,Damarwulan
s_img_00792_aug2.png,ꦝꦭꦏ,dhalaka,3,Damarwulan
s_img_00895_aug1.png,ꦢꦱꦔ,dasanga,3,AB Wulang
s_img_00895_aug2.png,ꦢꦱꦔ,dasanga,3,AB Wulang
s_img_00396_aug1.png,ꦛꦛꦏ,thathaka,3,Djoharuddin
s_img_00396_aug2.png,ꦛꦛꦏ,thathaka,3,Djoharuddin
s_img_00368_aug1.png,ꦕꦥ,capa,2,Dhuwung
s_img_00368_aug2.png,ꦕꦥ,capa,2,Dhuwung
s_img_00105_aug1.png,ꦠꦒꦩꦢꦕ,tagamadaca,5,AB Bakul
s_img_00105_aug2.png,ꦠꦒꦩꦢꦕ,tagamadaca,5,AB Bakul
s_img_01012_aug1.png,ꦲꦗ,haja,2,AB Wulang
s_img_01012_aug2.png,ꦲꦗ,haja,2,AB Wulang
s_img_00497_aug1.png,ꦧꦒꦏꦗꦱ,bagakajasa,5,Sehulbari
s_img_00497_aug2.png,ꦧꦒꦏꦗꦱ,bagakajasa,5,Sehulbari
s_img_00788_aug1.png,ꦕꦏꦔꦪꦪ,cakangayaya,5,Nayaka New
s_img_00788_aug2.png,ꦕꦏꦔꦪꦪ,cakangayaya,5,Nayaka New
s_img_00998_aug1.png,ꦫꦢꦤꦠꦮ,radanatawa,5,Nyk Ngayogyan New Italic
s_img_00998_aug2.png,ꦫꦢꦤꦠꦮ,radanatawa,5,Nyk Ngayogyan New Italic
s_img_01058_aug1.png,ꦲꦔꦝ,hangadha,3,Nyk Ngayogyan Jejeg
s_img_01058_aug2.png,ꦲꦔꦝ,hangadha,3,Nyk Ngayogyan Jejeg
s_img_00984_aug1.png,ꦱꦛꦏꦤꦒ,sathakanaga,5,Jamawi
s_img_00984_aug2.png,ꦱꦛꦏꦤꦒ,sathakanaga,5,Jamawi
s_img_00826_aug1.png,ꦱꦩꦝꦗꦏ,samadhajaka,5,Djoharuddin
s_img_00826_aug2.png,ꦱꦩꦝꦗꦏ,samadhajaka,5,Djoharuddin
s_img_00088_aug1.png,ꦱꦠꦚꦝꦭ,satanyadhala,5,Dhuwung
s_img_00088_aug2.png,ꦱꦠꦚꦝꦭ,satanyadhala,5,Dhuwung
s_img_00668_aug1.png,ꦩꦤꦏꦮꦕ,manakawaca,5,Nawatura Beta
s_img_00668_aug2.png,ꦩꦤꦏꦮꦕ,manakawaca,5,Nawatura Beta
s_img_00595_aug1.png,ꦧꦭꦢ,balada,3,Sehulbari
s_img_00595_aug2.png,ꦧꦭꦢ,balada,3,Sehulbari
s_img_00742_aug1.png,ꦠꦏꦔꦮꦥ,takangawapa,5,Nayaka New
s_img_00742_aug2.png,ꦠꦏꦔꦮꦥ,takangawapa,5,Nayaka New
s_img_00638_aug1.png,ꦛꦕ,thaca,2,Tuladha Jejeg
s_img_00638_aug2.png,ꦛꦕ,thaca,2,Tuladha Jejeg
s_img_00457_aug1.png,ꦩꦥꦱ,mapasa,3,Nawatura Beta
s_img_00457_aug2.png,ꦩꦥꦱ,mapasa,3,Nawatura Beta
s_img_00726_aug1.png,ꦪꦧꦧ,yababa,3,New Kramawirya
s_img_00726_aug2.png,ꦪꦧꦧ,yababa,3,New Kramawirya
s_img_00036_aug1.png,ꦧꦏ,baka,2,AB Bakul
s_img_00036_aug2.png,ꦧꦏ,baka,2,AB Bakul
s_img_00129_aug1.png,ꦏꦚꦢꦤꦮ,kanyadanawa,5,AR Demak Beta
s_img_00129_aug2.png,ꦏꦚꦢꦤꦮ,kanyadanawa,5,AR Demak Beta
s_img_00958_aug1.png,ꦗꦔꦒꦭꦔ,jangagalanga,5,Damarwulan
s_img_00958_aug2.png,ꦗꦔꦒꦭꦔ,jangagalanga,5,Damarwulan
s_img_00049_aug1.png,ꦤꦗ,naja,2,AB Bakul
s_img_00049_aug2.png,ꦤꦗ,naja,2,AB Bakul
s_img_00715_aug1.png,ꦱꦛꦫꦩꦏꦥ,satharamakapa,6,CARAKAN JAWA
s_img_00715_aug2.png,ꦱꦛꦫꦩꦏꦥ,satharamakapa,6,CARAKAN JAWA
s_img_00405_aug1.png,ꦒꦧꦫꦥ,gabarapa,4,AB Wulang
s_img_00405_aug2.png,ꦒꦧꦫꦥ,gabarapa,4,AB Wulang
s_img_00928_aug1.png,ꦫꦩꦩꦩ,ramamama,4,Damarwulan
s_img_00928_aug2.png,ꦫꦩꦩꦩ,ramamama,4,Damarwulan
s_img_00164_aug1.png,ꦤꦤꦧꦭ,nanabala,4,New Kramawirya
s_img_00164_aug2.png,ꦤꦤꦧꦭ,nanabala,4,New Kramawirya
s_img_00853_aug1.png,ꦛꦪꦧꦭꦪꦲ,thayabalayaha,6,Dhuwung
s_img_00853_aug2.png,ꦛꦪꦧꦭꦪꦲ,thayabalayaha,6,Dhuwung
s_img_00163_aug1.png,ꦝꦢꦭ,dhadala,3,Gumregah New FULL
s_img_00163_aug2.png,ꦝꦢꦭ,dhadala,3,Gumregah New FULL
s_img_00999_aug1.png,ꦫꦚꦥꦮꦝ,ranyapawadha,5,AR Demak Beta
s_img_00999_aug2.png,ꦫꦚꦥꦮꦝ,ranyapawadha,5,AR Demak Beta
s_img_00248_aug1.png,ꦤꦝꦠꦚ,nadhatanya,4,Damarwulan
s_img_00248_aug2.png,ꦤꦝꦠꦚ,nadhatanya,4,Damarwulan
s_img_01150_aug1.png,ꦲꦚꦩꦩ,hanyamama,4,Djoharuddin
s_img_01150_aug2.png,ꦲꦚꦩꦩ,hanyamama,4,Djoharuddin
s_img_00542_aug1.png,ꦕꦢꦪ,cadaya,3,New Kramawirya
s_img_00542_aug2.png,ꦕꦢꦪ,cadaya,3,New Kramawirya
s_img_00070_aug1.png,ꦫꦕꦧꦠꦒꦮ,racabatagawa,6,Nayaka New
s_img_00070_aug2.png,ꦫꦕꦧꦠꦒꦮ,racabatagawa,6,Nayaka New
s_img_00712_aug1.png,ꦱꦛꦢꦗ,sathadaja,4,AR Demak Beta
s_img_00712_aug2.png,ꦱꦛꦢꦗ,sathadaja,4,AR Demak Beta
s_img_00351_aug1.png,ꦛꦪꦢ,thayada,3,Nyk Ngayogyan Jejeg
s_img_00351_aug2.png,ꦛꦪꦢ,thayada,3,Nyk Ngayogyan Jejeg
s_img_00179_aug1.png,ꦫꦧꦱꦏꦮ,rabasakawa,5,AR Demak Beta
s_img_00179_aug2.png,ꦫꦧꦱꦏꦮ,rabasakawa,5,AR Demak Beta
s_img_00104_aug1.png,ꦛꦔꦥꦚꦚ,thangapanyanya,5,Gumregah New FULL
s_img_00104_aug2.png,ꦛꦔꦥꦚꦚ,thangapanyanya,5,Gumregah New FULL
s_img_00617_aug1.png,ꦢꦮꦕꦝ,dawacadha,4,Djoharuddin
s_img_00617_aug2.png,ꦢꦮꦕꦝ,dawacadha,4,Djoharuddin
s_img_00921_aug1.png,ꦧꦛꦢꦗꦗꦝ,bathadajajadha,6,New Kramawirya
s_img_00921_aug2.png,ꦧꦛꦢꦗꦗꦝ,bathadajajadha,6,New Kramawirya
s_img_01148_aug1.png,ꦤꦪꦭ,nayala,3,Nawatura Beta
s_img_01148_aug2.png,ꦤꦪꦭ,nayala,3,Nawatura Beta
s_img_00901_aug1.png,ꦛꦛꦝ,thathadha,3,Nyk Ngayogyan Jejeg
s_img_00901_aug2.png,ꦛꦛꦝ,thathadha,3,Nyk Ngayogyan Jejeg
s_img_01107_aug1.png,ꦝꦫꦲꦭ,dharahala,4,Sehulbari
s_img_01107_aug2.png,ꦝꦫꦲꦭ,dharahala,4,Sehulbari
s_img_00719_aug1.png,ꦚꦪꦢꦪꦩ,nyayadayama,5,Nyk Ngayogyan New Italic
s_img_00719_aug2.png,ꦚꦪꦢꦪꦩ,nyayadayama,5,Nyk Ngayogyan New Italic
s_img_00071_aug1.png,ꦝꦕꦱ,dhacasa,3,CARAKAN JAWA
s_img_00071_aug2.png,ꦝꦕꦱ,dhacasa,3,CARAKAN JAWA
s_img_00151_aug1.png,ꦠꦝꦮꦥꦮ,tadhawapawa,5,Noto Sans Javanese Regular
s_img_00151_aug2.png,ꦠꦝꦮꦥꦮ,tadhawapawa,5,Noto Sans Javanese Regular
s_img_00073_aug1.png,ꦔꦒꦲꦧ,ngagahaba,4,Dhuwung
s_img_00073_aug2.png,ꦔꦒꦲꦧ,ngagahaba,4,Dhuwung
s_img_00526_aug1.png,ꦢꦕ,daca,2,Damarwulan
s_img_00526_aug2.png,ꦢꦕ,daca,2,Damarwulan
s_img_00602_aug1.png,ꦛꦝ,thadha,2,AR Demak Beta
s_img_00602_aug2.png,ꦛꦝ,thadha,2,AR Demak Beta
s_img_00026_aug1.png,ꦗꦗ,jaja,2,Tuladha Jejeg
s_img_00026_aug2.png,ꦗꦗ,jaja,2,Tuladha Jejeg
s_img_00862_aug1.png,ꦠꦠꦭꦚꦢꦕ,tatalanyadaca,6,Tuladha Jejeg
s_img_00862_aug2.png,ꦠꦠꦭꦚꦢꦕ,tatalanyadaca,6,Tuladha Jejeg
s_img_01125_aug1.png,ꦔꦛꦔꦱ,ngathangasa,4,Damarwulan
s_img_01125_aug2.png,ꦔꦛꦔꦱ,ngathangasa,4,Damarwulan
s_img_00868_aug1.png,ꦤꦔꦭꦩꦛꦧ,nangalamathaba,6,New Kramawirya
s_img_00868_aug2.png,ꦤꦔꦭꦩꦛꦧ,nangalamathaba,6,New Kramawirya
s_img_00492_aug1.png,ꦝꦗ,dhaja,2,Gumregah New FULL
s_img_00492_aug2.png,ꦝꦗ,dhaja,2,Gumregah New FULL
s_img_00900_aug1.png,ꦚꦥꦔꦭꦛ,nyapangalatha,5,Tuladha Jejeg
s_img_00900_aug2.png,ꦚꦥꦔꦭꦛ,nyapangalatha,5,Tuladha Jejeg
s_img_00898_aug1.png,ꦩꦥꦝꦏꦱꦫ,mapadhakasara,6,Jamawi
s_img_00898_aug2.png,ꦩꦥꦝꦏꦱꦫ,mapadhakasara,6,Jamawi
s_img_00877_aug1.png,ꦭꦲꦒꦝꦒꦒ,lahagadhagaga,6,CARAKAN JAWA
s_img_00877_aug2.png,ꦭꦲꦒꦝꦒꦒ,lahagadhagaga,6,CARAKAN JAWA
s_img_00941_aug1.png,ꦔꦤꦧꦒꦫꦕ,nganabagaraca,6,CARAKAN JAWA
s_img_00941_aug2.png,ꦔꦤꦧꦒꦫꦕ,nganabagaraca,6,CARAKAN JAWA
s_img_00785_aug1.png,ꦚꦏꦥꦢꦕꦩ,nyakapadacama,6,Nawatura Beta
s_img_00785_aug2.png,ꦚꦏꦥꦢꦕꦩ,nyakapadacama,6,Nawatura Beta
s_img_00791_aug1.png,ꦲꦱ,hasa,2,CARAKAN JAWA
s_img_00791_aug2.png,ꦲꦱ,hasa,2,CARAKAN JAWA
s_img_00475_aug1.png,ꦲꦠꦛꦕ,hatathaca,4,Nawatura Beta
s_img_00475_aug2.png,ꦲꦠꦛꦕ,hatathaca,4,Nawatura Beta
s_img_00298_aug1.png,ꦲꦚꦕꦥꦛ,hanyacapatha,5,Tuladha Jejeg
s_img_00298_aug2.png,ꦲꦚꦕꦥꦛ,hanyacapatha,5,Tuladha Jejeg
s_img_01082_aug1.png,ꦩꦛꦫ,mathara,3,Gumregah New FULL
s_img_01082_aug2.png,ꦩꦛꦫ,mathara,3,Gumregah New FULL
s_img_01145_aug1.png,ꦝꦕꦒꦗꦒ,dhacagajaga,5,AR Demak Beta
s_img_01145_aug2.png,ꦝꦕꦒꦗꦒ,dhacagajaga,5,AR Demak Beta
s_img_00864_aug1.png,ꦤꦪꦮꦧꦮ,nayawabawa,5,Djoharuddin
s_img_00864_aug2.png,ꦤꦪꦮꦧꦮ,nayawabawa,5,Djoharuddin
s_img_00438_aug1.png,ꦧꦗꦗꦝꦏꦭ,bajajadhakala,6,Jamawi
s_img_00438_aug2.png,ꦧꦗꦗꦝꦏꦭ,bajajadhakala,6,Jamawi
s_img_00013_aug1.png,ꦕꦱꦫꦗ,casaraja,4,AB Bakul
s_img_00013_aug2.png,ꦕꦱꦫꦗ,casaraja,4,AB Bakul
s_img_00043_aug1.png,ꦤꦥ,napa,2,Noto Sans Javanese Regular
s_img_00043_aug2.png,ꦤꦥ,napa,2,Noto Sans Javanese Regular
s_img_00389_aug1.png,ꦚꦚ,nyanya,2,AB Wulang
s_img_00389_aug2.png,ꦚꦚ,nyanya,2,AB Wulang
s_img_00256_aug1.png,ꦝꦱ,dhasa,2,New Kramawirya
s_img_00256_aug2.png,ꦝꦱ,dhasa,2,New Kramawirya
s_img_00357_aug1.png,ꦢꦚꦩꦢ,danyamada,4,Nyk Ngayogyan New Italic
s_img_00357_aug2.png,ꦢꦚꦩꦢ,danyamada,4,Nyk Ngayogyan New Italic
s_img_00254_aug1.png,ꦏꦏꦧꦮ,kakabawa,4,Gumregah New FULL
s_img_00254_aug2.png,ꦏꦏꦧꦮ,kakabawa,4,Gumregah New FULL
s_img_00234_aug1.png,ꦥꦪꦢꦠ,payadata,4,AB Bakul
s_img_00234_aug2.png,ꦥꦪꦢꦠ,payadata,4,AB Bakul
s_img_00398_aug1.png,ꦤꦲꦕꦤꦛꦮ,nahacanathawa,6,Dhuwung
s_img_00398_aug2.png,ꦤꦲꦕꦤꦛꦮ,nahacanathawa,6,Dhuwung
s_img_00018_aug1.png,ꦱꦤ,sana,2,Djoharuddin
s_img_00018_aug2.png,ꦱꦤ,sana,2,Djoharuddin
s_img_00948_aug1.png,ꦫꦒꦲꦗꦠꦥ,ragahajatapa,6,Nawatura Beta
s_img_00948_aug2.png,ꦫꦒꦲꦗꦠꦥ,ragahajatapa,6,Nawatura Beta
s_img_00245_aug1.png,ꦫꦱ,rasa,2,Djoharuddin
s_img_00245_aug2.png,ꦫꦱ,rasa,2,Djoharuddin
s_img_00863_aug1.png,ꦢꦒꦫ,dagara,3,Sehulbari
s_img_00863_aug2.png,ꦢꦒꦫ,dagara,3,Sehulbari
s_img_00772_aug1.png,ꦒꦱꦤ,gasana,3,Noto Sans Javanese Regular
s_img_00772_aug2.png,ꦒꦱꦤ,gasana,3,Noto Sans Javanese Regular
s_img_01044_aug1.png,ꦥꦲꦢꦮꦛ,pahadawatha,5,Nyk Ngayogyan Jejeg
s_img_01044_aug2.png,ꦥꦲꦢꦮꦛ,pahadawatha,5,Nyk Ngayogyan Jejeg
s_img_00288_aug1.png,ꦪꦩꦔꦚꦪ,yamanganyaya,5,New Kramawirya
s_img_00288_aug2.png,ꦪꦩꦔꦚꦪ,yamanganyaya,5,New Kramawirya
s_img_00085_aug1.png,ꦔꦏꦱꦢꦢ,ngakasadada,5,Nawatura Beta
s_img_00085_aug2.png,ꦔꦏꦱꦢꦢ,ngakasadada,5,Nawatura Beta
s_img_00278_aug1.png,ꦝꦧ,dhaba,2,CARAKAN JAWA
s_img_00278_aug2.png,ꦝꦧ,dhaba,2,CARAKAN JAWA
s_img_00607_aug1.png,ꦱꦗꦩꦏ,sajamaka,4,Nayaka New
s_img_00607_aug2.png,ꦱꦗꦩꦏ,sajamaka,4,Nayaka New
s_img_01198_aug1.png,ꦧꦚꦤꦏ,banyanaka,4,AB Wulang
s_img_01198_aug2.png,ꦧꦚꦤꦏ,banyanaka,4,AB Wulang
s_img_01195_aug1.png,ꦫꦠꦧꦝꦧꦥ,ratabadhabapa,6,Gumregah New FULL
s_img_01195_aug2.png,ꦫꦠꦧꦝꦧꦥ,ratabadhabapa,6,Gumregah New FULL
s_img_00221_aug1.png,ꦢꦢꦕ,dadaca,3,Jamawi
s_img_00221_aug2.png,ꦢꦢꦕ,dadaca,3,Jamawi
s_img_00685_aug1.png,ꦲꦕ,haca,2,Djoharuddin
s_img_00685_aug2.png,ꦲꦕ,haca,2,Djoharuddin
s_img_00214_aug1.png,ꦧꦗꦥꦩ,bajapama,4,Sehulbari
s_img_00214_aug2.png,ꦧꦗꦥꦩ,bajapama,4,Sehulbari
s_img_00596_aug1.png,ꦛꦩꦧꦒꦫ,thamabagara,5,CARAKAN JAWA
s_img_00596_aug2.png,ꦛꦩꦧꦒꦫ,thamabagara,5,CARAKAN JAWA
s_img_00573_aug1.png,ꦕꦭꦤꦫ,calanara,4,Jamawi
s_img_00573_aug2.png,ꦕꦭꦤꦫ,calanara,4,Jamawi
s_img_00023_aug1.png,ꦱꦏꦒꦩ,sakagama,4,AB Wulang
