image,transcription,transliteration,length,font_used
s_img_00837_aug1.png,ꦲꦥꦝ,hapadha,3,New Kramawirya
s_img_00837_aug2.png,ꦲꦥꦝ,hapadha,3,New Kramawirya
s_img_00837_aug3.png,ꦲꦥꦝ,hapadha,3,New Kramawirya
s_img_00582_aug1.png,ꦗꦔꦗꦛꦫꦝ,jangajatharadha,6,Noto Sans Javanese Regular
s_img_00582_aug2.png,ꦗꦔꦗꦛꦫꦝ,jangajatharadha,6,Noto Sans Javanese Regular
s_img_00582_aug3.png,ꦗꦔꦗꦛꦫꦝ,jangajatharadha,6,Noto Sans Javanese Regular
s_img_01079_aug1.png,ꦏꦏꦮꦝ,kakawadha,4,CARAKAN JAWA
s_img_01079_aug2.png,ꦏꦏꦮꦝ,kakawadha,4,CARAKAN JAWA
s_img_01079_aug3.png,ꦏꦏꦮꦝ,kakawadha,4,CARAKAN JAWA
s_img_00795_aug1.png,ꦒꦔꦒꦥꦪ,gangagapaya,5,CARAKAN JAWA
s_img_00795_aug2.png,ꦒꦔꦒꦥꦪ,gangagapaya,5,CARAKAN JAWA
s_img_00795_aug3.png,ꦒꦔꦒꦥꦪ,gangagapaya,5,CARAKAN JAWA
s_img_00671_aug1.png,ꦏꦱꦭꦮꦥ,kasalawapa,5,Nyk Ngayogyan Jejeg
s_img_00671_aug2.png,ꦏꦱꦭꦮꦥ,kasalawapa,5,Nyk Ngayogyan Jejeg
s_img_00671_aug3.png,ꦏꦱꦭꦮꦥ,kasalawapa,5,Nyk Ngayogyan Jejeg
s_img_00767_aug1.png,ꦭꦮꦪꦗꦝꦚ,lawayajadhanya,6,New Kramawirya
s_img_00767_aug2.png,ꦭꦮꦪꦗꦝꦚ,lawayajadhanya,6,New Kramawirya
s_img_00767_aug3.png,ꦭꦮꦪꦗꦝꦚ,lawayajadhanya,6,New Kramawirya
s_img_00206_aug1.png,ꦧꦧꦗꦚ,babajanya,4,Tuladha Jejeg
s_img_00206_aug2.png,ꦧꦧꦗꦚ,babajanya,4,Tuladha Jejeg
s_img_00206_aug3.png,ꦧꦧꦗꦚ,babajanya,4,Tuladha Jejeg
s_img_00517_aug1.png,ꦩꦲꦲꦧꦧ,mahahababa,5,Noto Sans Javanese Bold
s_img_00517_aug2.png,ꦩꦲꦲꦧꦧ,mahahababa,5,Noto Sans Javanese Bold
s_img_00517_aug3.png,ꦩꦲꦲꦧꦧ,mahahababa,5,Noto Sans Javanese Bold
s_img_00786_aug1.png,ꦢꦥꦤꦲ,dapanaha,4,Nawatura Beta
s_img_00786_aug2.png,ꦢꦥꦤꦲ,dapanaha,4,Nawatura Beta
s_img_00786_aug3.png,ꦢꦥꦤꦲ,dapanaha,4,Nawatura Beta
s_img_00311_aug1.png,ꦚꦭꦮꦛꦤ,nyalawathana,5,Noto Sans Javanese Regular
s_img_00311_aug2.png,ꦚꦭꦮꦛꦤ,nyalawathana,5,Noto Sans Javanese Regular
s_img_00311_aug3.png,ꦚꦭꦮꦛꦤ,nyalawathana,5,Noto Sans Javanese Regular
s_img_00770_aug1.png,ꦔꦔꦭꦭꦫꦩ,ngangalalarama,6,Gumregah New FULL
s_img_00770_aug2.png,ꦔꦔꦭꦭꦫꦩ,ngangalalarama,6,Gumregah New FULL
s_img_00770_aug3.png,ꦔꦔꦭꦭꦫꦩ,ngangalalarama,6,Gumregah New FULL
s_img_01134_aug1.png,ꦔꦗ,ngaja,2,Nayaka New
s_img_01134_aug2.png,ꦔꦗ,ngaja,2,Nayaka New
s_img_01134_aug3.png,ꦔꦗ,ngaja,2,Nayaka New
s_img_00111_aug1.png,ꦏꦲꦫ,kahara,3,Noto Sans Javanese Regular
s_img_00111_aug2.png,ꦏꦲꦫ,kahara,3,Noto Sans Javanese Regular
s_img_00111_aug3.png,ꦏꦲꦫ,kahara,3,Noto Sans Javanese Regular
s_img_00755_aug1.png,ꦝꦤꦒꦢꦕꦭ,dhanagadacala,6,CARAKAN JAWA
s_img_00755_aug2.png,ꦝꦤꦒꦢꦕꦭ,dhanagadacala,6,CARAKAN JAWA
s_img_00755_aug3.png,ꦝꦤꦒꦢꦕꦭ,dhanagadacala,6,CARAKAN JAWA
s_img_00322_aug1.png,ꦔꦏꦥꦕ,ngakapaca,4,Nyk Ngayogyan Jejeg
s_img_00322_aug2.png,ꦔꦏꦥꦕ,ngakapaca,4,Nyk Ngayogyan Jejeg
s_img_00322_aug3.png,ꦔꦏꦥꦕ,ngakapaca,4,Nyk Ngayogyan Jejeg
s_img_00509_aug1.png,ꦛꦪꦭꦏꦠꦥ,thayalakatapa,6,New Kramawirya
s_img_00509_aug2.png,ꦛꦪꦭꦏꦠꦥ,thayalakatapa,6,New Kramawirya
s_img_00509_aug3.png,ꦛꦪꦭꦏꦠꦥ,thayalakatapa,6,New Kramawirya
s_img_00876_aug1.png,ꦗꦮ,jawa,2,Gumregah New FULL
s_img_00876_aug2.png,ꦗꦮ,jawa,2,Gumregah New FULL
s_img_00876_aug3.png,ꦗꦮ,jawa,2,Gumregah New FULL
s_img_00473_aug1.png,ꦒꦪꦚ,gayanya,3,Nyk Ngayogyan Jejeg
